@vw2 1.3
@legend signpost: a verdict references its component recipe (ref=), never copies it
@legend q-vs-ran: q= is the REQUESTED quantity; ran= is the EXECUTED batch of the timing run
@legend metric: ns= is comparable only within identical metric= and units=; absent ns = informational
@legend lay: lay=split|il keys the CALLER's data layout (v1.2) - layout is a caller declaration like place=, never a strategy output; absent = a pre-1.2 record OR a shared-interior recipe (one engine serves both layouts - stamping a layout from the other door's timing would manufacture fake cells), served to concrete-lay requests as the fallback tier
@legend eng-on-nat: on ord=nat rows eng= names the WINNING family (zturn|k1|stride) since 2026-09-02; earlier rows carry eng=stride regardless (vintage, still served)
@legend wildcards: q=*/ord=*/place=* are migration-vintage only (from= required); fresh banks stamp concrete axes
@legend role: role=comp marks an engine-internal COMPONENT recipe; absent = the problem verdict at that key (equality-matched)
@legend evolution: new fields/axes land here as additive minor versions, never in frozen legacy files; reserved: sp_kv
@legend see src/core/wisdom2/README.md
@meta host=intel-f6m183 isa=avx2 l1d=49152
@cell t=c2c n=128x128 q=1 ord=scr place=* | rowplan=8.16 rowvars=flat.flat rowdif=1 colplan=4.4.8 colvars=flat.t1s.t1s coldif=0 b=8 | ran=1 ns=24643.4 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:4
@cell t=c2c n=256x256 q=1 ord=scr place=* | rowplan=16.16 rowvars=flat.t1s rowdif=0 colplan=4.4.4.4 colvars=flat.t1s.t1s.log3 coldif=0 b=8 | ran=1 ns=118836.7 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:5
@cell t=c2c n=512x512 q=1 ord=scr place=* | rowplan=32.16 rowvars=flat.t1s rowdif=0 colplan=4.4.4.4.2 colvars=flat.t1s.t1s.t1s.t1s coldif=0 b=8 | ran=1 ns=773775.0 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:6
@cell t=c2c n=64x64 q=1 ord=scr place=* | rowplan=4.16 rowvars=flat.flat rowdif=1 colplan=4.16 colvars=flat.t1s coldif=0 b=8 | ran=1 ns=4518.6 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:7
@cell t=c2c n=128x64 q=1 ord=scr place=* | rowplan=4.16 rowvars=flat.flat rowdif=1 colplan=4.32 colvars=flat.t1s coldif=0 b=8 | ran=1 ns=10296.7 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:8
@cell t=c2c n=64x16 q=1 ord=scr place=* | rowplan=16 rowvars=flat rowdif=1 colplan=4.16 colvars=flat.flat coldif=1 b=8 | ran=1 ns=853.4 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:9
@cell t=c2c n=128x16 q=1 ord=scr place=* | rowplan=16 rowvars=flat rowdif=1 colplan=8.16 colvars=flat.t1s coldif=0 b=8 | ran=1 ns=1842.6 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:10
@cell t=c2c n=256x16 q=1 ord=scr place=* | rowplan=16 rowvars=flat rowdif=1 colplan=32.8 colvars=flat.flat coldif=1 b=8 | ran=1 ns=4905.1 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:11
@cell t=c2c n=128x32 q=1 ord=scr place=* | rowplan=32 rowvars=flat rowdif=1 colplan=4.8.4 colvars=flat.t1s.t1s coldif=0 b=8 | ran=1 ns=4897.3 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:12
@cell t=c2c n=512x16 q=1 ord=scr place=* | rowplan=16 rowvars=flat rowdif=1 colplan=8.8.8 colvars=flat.t1s.t1s coldif=0 b=8 | ran=1 ns=9986.9 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:13
@cell t=c2c n=256x32 q=1 ord=scr place=* | rowplan=32 rowvars=flat rowdif=1 colplan=4.8.8 colvars=flat.t1s.t1s coldif=0 b=8 | ran=1 ns=10639.8 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:14
@cell t=c2c n=256x64 q=1 ord=scr place=* | rowplan=8.8 rowvars=log3.flat rowdif=1 colplan=4.16.4 colvars=flat.t1s.t1s coldif=0 b=8 | ran=1 ns=22486.1 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:15
@cell t=c2c n=512x64 q=1 ord=scr place=* | rowplan=4.16 rowvars=flat.flat rowdif=1 colplan=4.4.32 colvars=flat.t1s.t1s coldif=0 b=8 | ran=1 ns=46875.4 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:16
@cell t=c2c n=64x16 q=1 ord=nat place=* | rowplan=16 rowvars=flat rowdif=1 colplan=64 colvars=flat coldif=1 b=8 | ran=1 ns=871.7 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:17
@cell t=c2c n=128x16 q=1 ord=nat place=* | rowplan=16 rowvars=flat rowdif=1 colplan=4.8.4 colvars=flat.t1s.t1s coldif=0 b=8 | ran=1 ns=2184.2 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:18
@cell t=c2c n=64x64 q=1 ord=nat place=* | rowplan=4.16 rowvars=log3.flat rowdif=1 colplan=2.16.2 colvars=flat.t1s.t1s coldif=0 b=8 | ran=1 ns=7485.2 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:19
@cell t=c2c n=256x16 q=1 ord=nat place=* | rowplan=16 rowvars=flat rowdif=1 colplan=4.16.4 colvars=flat.t1s.t1s coldif=0 b=8 | ran=1 ns=5609.2 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:20
@cell t=c2c n=128x32 q=1 ord=nat place=* | rowplan=32 rowvars=flat rowdif=1 colplan=2.32.2 colvars=flat.t1s.t1s coldif=0 b=8 | ran=1 ns=5746.3 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:21
